video_path,label,total_blinks,blink_rate,avg_ear,ear_variance,yaw_variance,pitch_variance,yaw_angular_velocity,pitch_angular_velocity,mean_yaw,mean_pitch,duration,blink_frames_processed,headpose_frames_processed,blink_faces_detected,headpose_faces_detected,blink_success,headpose_success
01__exit_phone_room.mp4,real,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.708333333333334,0,0,0,0,False,False
01__kitchen_pan.mp4,real,12,61.71428571428572,0.4789462657074251,0.0358615926104959,2.396725554948479,12.613991134964781,4.399133710605677,8.92234109225885,-172.29187192684364,-23.50158763124924,23.333333333333332,271,270,271,271,True,True
01__outside_talking_pan_laughing.mp4,real,13,62.10862619808307,0.3567449485281727,0.01669740399792089,4.471077510418275,127.92219857275725,7.776011935087326,17.20177805128468,-176.4451609591922,-5.573575829878188,26.083333333333332,298,297,298,298,True,True
01__hugging_happy.mp4,real,10,40.25412960609911,0.5025926238369156,0.03566774778156057,8.079700942423731,12.896020291993752,13.48839259074111,16.398114660891974,-171.98112570319824,-30.963705433992573,32.791666666666664,347,347,347,347,True,True
01__kitchen_still.mp4,real,15,53.99999999999999,0.6082552884908256,0.039006797185232055,8.130109175915855,13.346011426255622,5.384173140406783,10.970648129177471,-172.31945656687864,-32.5529535417297,33.333333333333336,400,400,400,400,True,True
01__outside_talking_still_laughing.mp4,real,22,84.60634547591069,0.34635104382803245,0.011112570406540347,5.31408588543731,2.2353375568562734,7.660252287323812,7.36922504922056,-176.08482198645447,-3.565977426177605,35.458333333333336,373,373,373,373,True,True
01__meeting_serious.mp4,real,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.541666666666664,0,0,0,0,False,False
01__podium_speech_happy.mp4,real,16,51.08647450110865,0.49964463460934294,0.012393541044952706,1.170232971984105,1.1119357178640654,3.568065457822899,4.500497540696443,-176.92983611886152,-1.0361932725575238,37.583333333333336,447,447,447,447,True,True
01__talking_against_wall.mp4,real,20,66.97674418604652,0.49669332242719644,0.006115171977462215,2.052794207685693,0.7142456084120933,1.885809849525946,3.347953567114024,-176.41050532343138,-0.24865705379268485,35.833333333333336,430,430,430,430,True,True
01__walking_outside_cafe_disgusted.mp4,real,3,37.64705882352941,0.5598055617311286,0.0062608567742343255,0.18545424449064019,4.037997567165552,1.1253098490317726,3.6259636933427513,-179.13459769450145,0.9545395291708821,12.75,109,109,109,109,True,True
01__secret_conversation.mp4,real,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.208333333333336,0,0,0,0,False,False
01__walking_down_indoor_hall_disgust.mp4,real,24,82.87769784172663,0.39583935078083443,0.04076518046010181,4047.1302642260075,28.92508216769194,74.936721419322,15.983111183440085,-169.10478220394782,6.505804536410252,34.75,415,411,415,415,True,True
01__talking_angry_couch.mp4,real,25,48.354600402955,0.5443447638804548,0.04015425601463848,3.858745330916291,10.375713390250445,4.76852577135676,12.621429261517065,-176.59162465554704,21.04808758281207,62.041666666666664,743,743,743,743,True,True
01__walking_down_street_outside_angry.mp4,real,1,205.37704918032784,0.28002373416741694,0.006900731137808242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.416666666666668,7,0,7,0,True,False
01__walking_and_outside_surprised.mp4,real,20,53.08755760368663,0.4428263121471704,0.023362009442776697,5.842027751160779,46.14147328451343,5.816995442152941,12.404584693633968,-176.24091106190818,-5.664906173611191,45.208333333333336,541,541,541,541,True,True
01__walk_down_hall_angry.mp4,real,0,0.0,0.46286460194126605,0.0043635067431879145,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.458333333333334,3,0,3,0,True,False
02__exit_phone_room.mp4,real,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.166666666666666,0,0,0,0,False,False
02__kitchen_pan.mp4,real,2,9.746192893401014,0.6212309799319701,0.015564268761275597,1.9908550751812517,64.83131425186141,4.044600203365844,11.408742494601212,-176.1875256786185,-20.766465209037612,24.625,284,283,284,284,True,True
02__hugging_happy.mp4,real,17,62.608695652173914,0.543661506026175,0.018030205320319903,11.023137891876436,54.8572249425489,9.254127395174127,12.337541578764188,-170.7117455497969,-28.225229468977616,33.541666666666664,390,390,390,390,True,True
02__outside_talking_pan_laughing.mp4,real,22,100.21180030257186,0.3830113605291841,0.005968496132513943,13.400117194152728,22.175315623957154,10.851004644593585,13.032145451223709,-174.9919880656881,-0.13550564545813837,27.541666666666668,313,313,313,313,True,True
02__kitchen_still.mp4,real,9,30.315789473684212,0.5161487951567814,0.019644360815330306,3.700174338941364,4.379196431967548,2.654260253856033,5.316934504744002,-175.44580675932,-14.848009656898407,35.625,423,423,423,423,True,True
02__outside_talking_still_laughing.mp4,real,30,105.3658536585366,0.40089928784012846,0.010602643773915212,5.171562875204984,7.755821087135186,7.849172647731644,12.164060803434737,-176.34420422774724,-3.274629867465395,34.166666666666664,404,404,404,404,True,True
02__podium_speech_happy.mp4,real,24,73.60594795539033,0.4822798494256096,0.02293115328120912,5.674982393537762,11.265465472639786,7.4336777126390805,9.6108770083531,-174.30433785480784,-1.3920181659806974,44.833333333333336,467,467,467,467,True,True
02__meeting_serious.mp4,real,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.041666666666664,0,0,0,0,False,False
02__talking_against_wall.mp4,real,15,43.63636363636364,0.5241109427872119,0.0072438321384959686,0.8980428444099852,0.5672784417865097,1.7478754994096424,3.8664190967608767,178.1760268010573,3.6396784489814302,41.25,495,495,495,495,True,True
02__walking_and_outside_surprised.mp4,real,20,53.08755760368663,0.4428263121471704,0.023362009442776697,5.842027751160779,46.14147328451343,5.816995442152941,12.404584693633968,-176.24091106190818,-5.664906173611191,45.208333333333336,541,541,541,541,True,True
02__talking_angry_couch.mp4,real,21,46.52307692307693,0.6070789278080835,0.02543551667884706,37.443811269600914,45.94237088405227,9.101529290800906,16.681974477364463,168.99147125127865,28.691576702679253,54.166666666666664,650,650,650,650,True,True
02__walking_down_indoor_hall_disgust.mp4,real,23,80.48602673147023,0.3964946221220393,0.04105643586153953,3973.8331827222055,28.815871996808433,75.25518173105407,14.95730426622197,-169.1836821632291,6.473461880373103,34.291666666666664,410,409,410,410,True,True
02__secret_conversation.mp4,real,-1,-1.0,-1.0,-1.0,0.6909245239272492,1.9400647860833655,5.21032746186024,7.26558083392667,174.31308194021767,-50.811045745248414,42.5,0,322,0,322,False,True
02__walking_outside_cafe_disgusted.mp4,real,0,0.0,0.36243537462112224,0.01504509244679053,0.9204686418094236,5.8843059010016345,7.209812255043505,13.671690729960503,-177.98384992896152,11.54144436021336,24.041666666666668,11,29,11,29,True,True
03__exit_phone_room.mp4,real,1,18.580645161290324,0.5728244424272766,0.026876351754991777,0.05232666221639838,0.8319894502034134,0.9307013919427405,4.021567944040068,179.65830610674635,-3.576194088082731,25.833333333333332,69,69,69,69,True,True
02__walk_down_hall_angry.mp4,real,0,0.0,0.46855673513894164,0.0027109534336396545,3794.105135958682,2.143393525741045,249.26407972695236,15.491213083526809,-179.56135833212815,10.318305291297817,16.875,6,20,6,20,True,True
02__walking_down_street_outside_angry.mp4,real,0,0.0,0.416041663786331,0.007023790071286236,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,5,0,5,0,True,False
03__kitchen_pan.mp4,real,17,89.18032786885246,0.6468348599227725,0.00926284565036013,4651.356700484986,46.8811680897716,109.18700377991136,15.211366235709356,-179.69410057549723,-23.562973796670303,22.875,270,268,270,270,True,True
03__hugging_happy.mp4,real,25,88.23529411764707,0.5332197295429421,0.015353727557254818,2.536536873153512,15.42114057564668,5.786453616434282,10.87635764473901,-177.28843574085977,-26.283998656222316,34.0,408,408,408,408,True,True
03__kitchen_still.mp4,real,14,42.21989528795812,0.6414596926610394,0.016715392738941518,4125.736313342821,9.057978112588671,82.07875275592916,12.583533205003851,170.4462372637206,-24.56966171825502,39.791666666666664,477,477,477,477,True,True
03__podium_speech_happy.mp4,real,23,78.95113230035756,0.5469181399418198,0.010004271713476192,8.367745069230576,2.3925337988343545,9.029151162597651,7.393931819036454,174.26223246027388,-3.473577083862519,34.958333333333336,419,419,419,419,True,True
03__outside_talking_pan_laughing.mp4,real,-1,-1.0,-1.0,-1.0,6.29000778135072,75.47476969064444,13.246306013241114,24.438251070077204,-175.58090653902258,-5.3346574311063835,30.458333333333332,0,678,0,679,False,True
03__meeting_serious.mp4,real,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,0,0,0,0,False,False
03__outside_talking_still_laughing.mp4,real,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.541666666666664,0,0,0,0,False,False
03__talking_against_wall.mp4,real,29,91.78021978021978,0.5439911346562427,0.008305647319239235,0.6645736652958935,0.8028564239116524,2.416791835075267,3.9634692303251295,176.6701297484178,-3.3224115995977983,37.916666666666664,455,455,455,455,True,True
03__secret_conversation.mp4,real,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.583333333333336,0,0,0,0,False,False
03__walking_and_outside_surprised.mp4,real,42,111.6376306620209,0.45097825444063727,0.0472521266034999,3161.8099429966546,139.6261648179475,79.24410538430465,24.184184974178,-179.41155019919864,33.017418600007844,47.833333333333336,536,536,536,536,True,True
03__walking_outside_cafe_disgusted.mp4,real,11,52.21757322175733,0.5366196434152267,0.013639796849174303,0.3148730052620082,1.4099891117939838,2.0087726212592494,4.6041068844311805,178.64953208932275,-3.2071316790140147,29.875,295,295,295,295,True,True
